City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,keti bandar,24.1447,67.4497,17.88,17,41,5.9,PK,1673930179
174,puro,12.4841,123.3827,27.39,81,98,4.66,PH,1673930180
175,beloha,-25.1667,45.05,27.11,60,0,3.84,MG,1673930181
176,bambous virieux,-20.3428,57.7575,27.9,69,75,7.72,MU,1673930182
177,porto novo,6.4965,2.6036,25.9,87,7,1.57,BJ,1673930183
178,daoukro,7.0591,-3.9631,18.71,74,5,0.5,CI,1673930184
179,sioux lookout,50.1001,-91.917,0.04,93,100,1.54,CA,1673930185
180,salinopolis,-0.6136,-47.3561,25.48,83,95,4.18,BR,1673930186
181,talakan,50.3167,130.3667,-19.92,85,100,0.64,RU,1673930187
182,vostok,46.4856,135.8833,-17.38,76,96,2.36,RU,1673930188
183,troitskoye,52.9821,84.6757,-10.38,92,100,6.31,RU,1673930024
184,machala,-3.2667,-79.9667,24.66,77,100,1.15,EC,1673930189
185,alofi,-19.0595,-169.9187,26.94,89,94,2.57,NU,1673930190
186,oloron-sainte-marie,43.1944,-0.6107,8.96,85,77,8.26,FR,1673930191
187,vestmannaeyjar,63.4427,-20.2734,-2.16,73,33,10.44,IS,1673930192
188,carutapera,-1.195,-46.02,23.17,93,79,2.24,BR,1673930160
189,evensk,61.95,159.2333,-18.14,77,100,3.45,RU,1673929940
190,el tigre,8.8875,-64.2454,22.96,78,77,5.75,VE,1673930195
191,santa cruz de tenerife,28.4682,-16.2546,17.01,91,100,2.06,ES,1673930196
192,saldanha,-33.0117,17.9442,15.03,92,12,4.78,ZA,1673930196
193,mackay,-21.15,149.2,24.27,96,100,7.05,AU,1673930124
194,sur,22.5667,59.5289,21.58,60,66,1.77,OM,1673929745
195,hibbing,47.4272,-92.9377,-0.22,100,100,3.09,US,1673930198
196,haines junction,60.7522,-137.5108,-10.94,98,99,0.81,CA,1673930199
197,listowel,52.4464,-9.485,-2.16,87,100,4.56,IE,1673930200
198,kruisfontein,-34.0033,24.7314,21.05,93,100,3.46,ZA,1673930201
199,inhambane,-23.865,35.3833,24.99,88,20,2.06,MZ,1673930202
200,parry sound,45.3501,-80.033,-0.97,40,100,4.0,CA,1673930203
201,yinchuan,38.4681,106.2731,-6.05,39,0,1.6,CN,1673930204
202,madison,34.7334,-86.5667,15.64,78,100,7.2,US,1673930062
203,portland,45.5234,-122.6762,8.23,87,100,2.06,US,1673929625
204,manihari,25.35,87.6333,18.48,38,0,2.78,IN,1673930206
205,hofn,64.2539,-15.2082,0.13,60,100,8.84,IS,1673930208
206,barranca de upia,4.5696,-72.9668,25.67,61,100,0.38,CO,1673930209
207,havoysund,70.9963,24.6622,1.13,97,100,3.71,NO,1673930210
208,benidorm,38.5382,-0.131,16.61,66,80,12.29,ES,1673930211
209,grand forks,47.9417,-97.4337,-7.15,86,100,9.77,US,1673930211
210,verkhnevilyuysk,63.4453,120.3167,-41.82,99,90,0.8,RU,1673930140
211,yenagoa,4.9247,6.2642,23.25,95,47,1.45,NG,1673929943
212,chifeng,42.2683,118.9636,-6.81,37,53,5.11,CN,1673930213
213,chuy,-33.6971,-53.4616,18.33,88,0,2.47,UY,1673930214
214,port hardy,50.6996,-127.4199,6.1,100,100,2.06,CA,1673930215
215,clyde river,70.4692,-68.5914,-25.87,76,100,2.06,CA,1673930217
216,marsa matruh,31.3525,27.2453,9.11,93,40,1.54,EG,1673930219
217,krasnofarfornyy,59.1364,31.8502,-1.41,95,100,3.16,RU,1673930219
218,gizo,-8.103,156.8419,28.6,73,94,3.65,SB,1673930220
219,ust-omchug,61.15,149.6333,-37.03,97,79,2.34,RU,1673930221
220,iqaluit,63.7506,-68.5145,-31.84,74,20,0.0,CA,1673930222
221,berdigestyakh,62.0989,126.6992,-43.72,99,93,0.46,RU,1673930223
222,homa bay,-0.5273,34.4571,20.15,57,12,1.53,KE,1673930224
223,arklow,52.7931,-6.1414,0.6,66,99,2.77,IE,1673930225
224,hithadhoo,-0.6,73.0833,26.52,66,33,1.92,MV,1673930195
225,namatanai,-3.6667,152.4333,28.47,72,100,2.97,PG,1673930226
226,ewa beach,21.3156,-158.0072,26.97,65,0,4.12,US,1673930227
227,coquimbo,-29.9533,-71.3436,15.85,88,0,2.06,CL,1673930228
228,dunedin,-45.8742,170.5036,16.56,75,56,0.89,NZ,1673930229
229,namibe,-15.1961,12.1522,23.28,76,91,0.55,AO,1673930230
230,sibolga,1.7427,98.7792,28.45,69,99,2.7,ID,1673930231
231,mahebourg,-20.4081,57.7,27.92,69,75,7.72,MU,1673930232
232,beringovskiy,63.05,179.3167,-21.57,91,100,9.6,RU,1673930233
233,codrington,-38.2667,141.9667,25.13,41,96,7.63,AU,1673930234
234,bara,10.3744,10.7288,17.45,27,100,3.11,NG,1673929703
235,bubaque,11.2833,-15.8333,24.87,69,46,4.63,GW,1673930235
236,cayenne,4.9333,-52.3333,23.02,94,100,2.06,GF,1673930137
237,mwene-ditu,-7.0,23.45,18.02,97,100,1.34,CD,1673930237
238,natal,-5.795,-35.2094,25.12,83,40,2.06,BR,1673930238
239,zyryanka,65.75,150.85,-33.98,97,100,2.14,RU,1673930239
240,constitucion,-35.3333,-72.4167,11.74,89,9,2.52,CL,1673930240
241,promyshlennyy,67.5833,63.9167,-10.62,94,100,6.11,RU,1673930241
242,vanimo,-2.6741,141.3028,28.45,72,97,2.48,PG,1673930008
243,turiacu,-1.6633,-45.3717,22.12,96,90,1.14,BR,1673930242
244,castlemaine,-37.0667,144.2167,37.38,20,21,6.26,AU,1673930243
245,vila velha,-20.3297,-40.2925,23.97,95,75,1.03,BR,1673930244
246,trincomalee,8.5711,81.2335,26.15,70,59,5.11,LK,1673930246
247,katobu,-4.9408,122.5276,31.32,61,59,0.86,ID,1673930247
248,pedernales,18.0384,-71.744,22.93,74,78,1.38,DO,1673930248
249,saint-georges,12.0564,-61.7485,24.82,83,20,0.0,GD,1673930249
250,lavrentiya,65.5833,-171.0,-28.7,91,93,5.86,RU,1673930250
251,hirara,24.8,125.2833,19.92,63,75,5.14,JP,1673929960
252,petatlan,17.5167,-101.2667,21.86,90,17,1.07,MX,1673930225
253,pisco,-13.7,-76.2167,21.12,78,0,0.0,PE,1673930254
254,dharampuri,22.1667,75.35,20.28,31,1,2.72,IN,1673930256
255,macon,39.8667,-88.9668,12.03,94,0,6.69,US,1673930145
256,hun,29.1268,15.9477,10.43,44,0,2.8,LY,1673930257
257,anadyr,64.75,177.4833,-21.72,64,0,7.0,RU,1673930258
258,saint-pierre,-21.3393,55.4781,28.28,69,75,9.77,RE,1673930259
259,broome,42.2506,-75.833,-2.99,82,0,2.06,US,1673930261
260,ust-kuyga,70.0167,135.6,-38.91,100,99,2.15,RU,1673930262
261,tual,-5.6667,132.75,28.66,72,97,4.04,ID,1673930263
262,sena madureira,-9.0656,-68.6569,21.04,99,100,0.52,BR,1673930264
263,afsin,38.2477,36.914,2.63,93,100,0.9,TR,1673930266
264,padang,-0.9492,100.3543,27.03,70,99,2.58,ID,1673929995
265,adre,13.4667,22.2,14.71,27,29,5.11,TD,1673930269
266,westport,41.1415,-73.3579,2.53,62,0,4.63,US,1673930270
267,husavik,66.0449,-17.3389,-2.31,92,100,9.17,IS,1673929997
268,neryungri,56.6709,124.6491,-34.61,87,100,2.49,RU,1673930272
269,maku,39.2911,44.4521,-1.3,72,69,0.59,IR,1673930273
270,yar-sale,66.8333,70.8333,-13.96,95,100,7.07,RU,1673929998
271,ocos,14.5094,-92.1933,20.1,72,5,3.02,GT,1673930276
272,dudinka,69.4058,86.1778,-43.22,96,7,1.39,RU,1673930277
273,ixtapa,20.7,-105.2,19.57,82,0,1.03,MX,1673930262
274,khatanga,71.9667,102.5,-40.15,100,25,2.69,RU,1673930280
275,atbasar,51.8,68.3333,-19.05,82,34,1.31,KZ,1673930281
276,tucupita,9.0622,-62.051,20.14,98,1,1.38,VE,1673930283
277,egvekinot,66.3167,-179.1667,-29.24,84,42,8.45,RU,1673930118
278,bedesa,8.9,40.7833,16.57,28,8,1.35,ET,1673930285
279,pandan,14.0453,124.1694,24.77,94,100,6.88,PH,1673930286
280,dormidontovka,47.7702,134.9076,-16.79,80,70,2.14,RU,1673930287
281,necochea,-38.5473,-58.7368,16.71,95,5,4.7,AR,1673930289
282,rabo de peixe,37.8,-25.5833,13.73,72,75,4.12,PT,1673930290
283,luwuk,-0.9516,122.7875,30.12,70,82,1.49,ID,1673930292
284,albury,-36.0833,146.9167,35.18,25,6,2.8,AU,1673930127
285,havelock,34.8791,-76.9013,7.19,61,98,2.56,US,1673930294
286,miandrivazo,-19.5167,45.4667,27.47,67,21,1.51,MG,1673930294
287,okato,-39.2,173.8833,20.94,70,23,4.88,NZ,1673930295
288,baoning,25.3378,110.026,7.92,42,75,3.0,CN,1673930296
289,guerrero negro,27.9769,-114.0611,17.61,81,100,5.06,MX,1673930298
290,orangeville,43.9168,-80.0997,0.02,81,100,2.95,CA,1673929650
291,okha,53.5739,142.9478,-30.76,88,8,3.92,RU,1673930299
292,hami,42.8,93.45,-7.81,38,0,1.08,CN,1673930300
293,sitka,57.0531,-135.33,4.94,81,100,5.66,US,1673930301
294,mendoza,-32.8908,-68.8272,25.74,41,40,6.17,AR,1673930285
295,pringsewu,-5.3582,104.9744,27.32,77,100,0.82,ID,1673930303
296,kargil,34.5667,76.1,-25.36,82,46,0.6,IN,1673930304
297,labuhan,-6.8844,112.2051,29.72,68,100,3.29,ID,1673930304
298,kandrian,-6.2167,149.55,31.46,60,91,3.87,PG,1673930306
